Time,Hammahalle,Wintergarten,Dampfer,Strand,Tunnel
Fri 22-23,,,DJ Shannon,,
Fri 23-00,,,DJ Shannon,,
Sat 00-01,Adaam,,DJ Shannon,,
Sat 01-02,Adaam,Shir Khan,Ademarr.,,
Sat 02-03,Adaam,Shir Khan,Ademarr.,,
Sat 03-04,Brumann,Shir Khan,Ademarr.,,
Sat 04-05,Brumann,SY,Norman Weber,,
Sat 05-06,Brumann,SY,Norman Weber,,
Sat 06-07,Guiamm,SY,Norman Weber,,
Sat 07-08,Guiamm,Apoena,Just Lauren,,
Sat 08-09,Guiamm,Apoena,Just Lauren,,
Sat 09-10,,Apoena,Just Lauren,,
Sat 10-11,,Bavaresco,Captain Leopard,,
Sat 11-12,,Bavaresco,Captain Leopard,,
Sat 12-13,,Bavaresco,Captain Leopard,,
Sat 13-14,,Carl Berge,Batmanka,,
Sat 14-15,,Carl Berge,Batmanka,,
Sat 15-16,,Carl Berge,Batmanka,,
Sat 16-17,,Alexkid,Tal Fussmann,,
Sat 17-18,,Alexkid,Tal Fussmann,,
Sat 18-19,,Alexkid,Tal Fussmann,,
Sat 19-20,,SAL,Mr. Turner,,
Sat 20-21,,SAL,Mr. Turner,,
Sat 21-22,Jauri,SAL,Mr. Turner,,
Sat 22-23,Jauri,Brian Ring,Local Suicide,,
Sat 23-00,Jauri,Brian Ring,Local Suicide,,
Sun 00-01,Alexander Kowalski,Brian Ring,Local Suicide,,
Sun 01-02,Alexander Kowalski,Lulah Francs,Local Suicide,,
Sun 02-03,Alexander Kowalski,Lulah Francs,Philipp Fein,,
Sun 03-04,J.Bløfeld,Lulah Francs,Philipp Fein,,
Sun 04-05,J.Bløfeld,Que Sakamoto,Philipp Fein,,
Sun 05-06,J.Bløfeld,Que Sakamoto,Foolik,,
Sun 06-07,Robot Bennett,Que Sakamoto,Foolik,,
Sun 07-08,Robot Bennett,Jacques Bon,Foolik,,
Sun 08-09,Robot Bennett,Jacques Bon,Foolik,,
Sun 09-10,,Jacques Bon,Oscar Wandel,,
Sun 10-11,,Stevo,Oscar Wandel,,
Sun 11-12,,Stevo,Oscar Wandel,,
Sun 12-13,,Stevo,Mylndr,,
Sun 13-14,,Audio Werner,Mylndr,,
Sun 14-15,,Audio Werner,Mylndr,,
Sun 15-16,,Audio Werner,The Muffin Man,,
Sun 16-17,,Okain,The Muffin Man,,
Sun 17-18,,Okain,The Muffin Man,,
Sun 18-19,The Futures,Okain,,,
Sun 19-20,The Futures,Okain,,,
Sun 20-21,The Futures,Ray Soo,,,
Sun 21-22,Cotumo,Ray Soo,,,
Sun 22-23,Cotumo,Ray Soo,Brass Riot * KONZERT *,,
Sun 23-00,Cotumo,Casimir Von Oettingen,Brass Riot * KONZERT *,,
Mon 00-01,Ele Luz,Casimir Von Oettingen,,,
Mon 01-02,Ele Luz,Casimir Von Oettingen,,,
Mon 02-03,Ele Luz,Muten,,,
Mon 03-04,TBA,Muten,,,
Mon 04-05,TBA,Muten,,,
Mon 05-06,TBA,Muten,,,
Mon 06-07,,,,David Delgado,
Mon 07-08,,,,David Delgado,
Mon 08-09,,,,David Delgado,
Mon 09-10,,,,David Delgado,
